Timestamp,Flex Value,Leaning Angle,Posture Status,MPU Angle
2026-06-27T11:37:51.613329,3150,90,0,88.88
2026-06-27T11:37:51.795877,3161,90,0,89.06
2026-06-27T11:37:52.089112,3163,90,0,86.95
2026-06-27T11:37:52.237800,3177,90,0,86.07
2026-06-27T11:37:52.429105,3175,90,0,85.45
2026-06-27T11:37:52.623833,3179,90,0,85.69
2026-06-27T11:37:52.818921,3181,90,0,85.83
2026-06-27T11:37:53.013521,3181,90,0,86.62
2026-06-27T11:37:53.208659,3182,90,0,86.88
2026-06-27T11:37:53.465275,3177,90,0,86.44
2026-06-27T11:37:53.655497,3181,90,0,86.20
2026-06-27T11:37:53.842752,3160,90,0,86.40
2026-06-27T11:37:54.037701,3180,90,0,86.75
2026-06-27T11:37:54.237282,3179,90,0,86.18
2026-06-27T11:37:54.426069,3180,90,0,86.20
2026-06-27T11:37:54.670596,3210,90,0,86.31
2026-06-27T11:37:54.866267,3211,90,0,86.77
2026-06-27T11:37:55.061266,3177,90,0,86.04
2026-06-27T11:37:55.255365,3181,90,0,86.57
2026-06-27T11:37:55.451514,3180,90,0,86.24
2026-06-27T11:37:55.645802,3180,90,0,86.35
2026-06-27T11:37:55.889117,3181,90,0,86.59
2026-06-27T11:37:56.084549,3177,90,0,86.59
2026-06-27T11:37:56.278758,3180,90,0,86.33
2026-06-27T11:37:56.484736,3180,90,0,86.44
2026-06-27T11:37:56.673829,3178,90,0,86.84
2026-06-27T11:37:56.870524,3177,90,0,87.23
2026-06-27T11:37:57.063317,3180,90,0,86.84
2026-06-27T11:37:57.306381,3179,90,0,86.59
2026-06-27T11:37:57.499324,3181,90,0,86.31
2026-06-27T11:37:57.693088,3183,90,0,86.44
2026-06-27T11:37:57.901290,3182,90,0,86.18
2026-06-27T11:37:58.082297,3182,90,0,86.64
2026-06-27T11:37:58.282238,3182,90,0,87.03
2026-06-27T11:37:58.473631,3213,90,0,86.79
2026-06-27T11:37:58.735285,3179,90,0,86.26
2026-06-27T11:37:58.961526,3179,90,0,86.59
2026-06-27T11:37:59.108319,3181,90,0,86.15
2026-06-27T11:37:59.302870,3179,90,0,86.24
2026-06-27T11:37:59.497333,3178,90,0,86.40
2026-06-27T11:37:59.692544,3182,90,0,86.44
2026-06-27T11:37:59.956900,3179,90,0,86.51
2026-06-27T11:38:00.131125,3212,90,0,87.08
2026-06-27T11:38:00.356891,3181,90,0,86.29
2026-06-27T11:38:00.527530,3179,90,0,86.22
2026-06-27T11:38:00.715927,3181,90,0,86.59
2026-06-27T11:38:00.910686,3180,90,0,86.48
2026-06-27T11:38:01.106471,3178,90,0,86.44
2026-06-27T11:38:01.354825,3180,90,0,86.11
2026-06-27T11:38:01.545034,3181,90,0,86.20
2026-06-27T11:38:01.743853,3180,90,0,86.62
2026-06-27T11:38:01.934263,3179,90,0,86.33
2026-06-27T11:38:02.129680,3149,90,0,86.00
2026-06-27T11:38:02.353460,3181,90,0,86.18
2026-06-27T11:38:02.569088,3176,90,0,86.62
2026-06-27T11:38:02.789867,3160,90,0,86.42
2026-06-27T11:38:02.966062,3183,90,0,86.68
2026-06-27T11:38:03.158329,3182,90,0,85.83
2026-06-27T11:38:03.371369,3167,90,0,85.94
2026-06-27T11:38:03.543576,3177,90,0,85.89
2026-06-27T11:38:03.791021,3191,90,0,86.20
2026-06-27T11:38:03.982660,3241,90,0,86.62
2026-06-27T11:38:04.177836,3178,90,0,86.62
2026-06-27T11:38:04.379022,3180,90,0,86.84
2026-06-27T11:38:04.567758,3177,90,0,86.88
2026-06-27T11:38:04.762669,3177,90,0,86.42
2026-06-27T11:38:04.957716,3178,90,0,86.26
2026-06-27T11:38:05.204009,3162,90,0,86.11
2026-06-27T11:38:05.396420,3178,90,0,86.35
2026-06-27T11:38:05.590434,3163,90,0,86.35
2026-06-27T11:38:05.785917,3179,90,0,86.40
2026-06-27T11:38:05.980225,3179,90,0,86.64
2026-06-27T11:38:06.175473,3182,90,0,86.81
2026-06-27T11:38:06.422935,3176,90,0,86.55
2026-06-27T11:38:06.625934,3182,90,0,86.37
2026-06-27T11:38:06.811872,3179,90,0,86.13
2026-06-27T11:38:07.004222,3212,90,0,85.94
2026-06-27T11:38:07.200286,3180,90,0,87.03
2026-06-27T11:38:07.398471,3181,90,0,86.18
2026-06-27T11:38:07.589358,3180,90,0,86.40
2026-06-27T11:38:07.834242,3180,90,0,86.40
2026-06-27T11:38:08.028505,3182,90,0,86.55
2026-06-27T11:38:08.223974,3183,90,0,86.44
2026-06-27T11:38:08.419634,3180,90,0,86.46
2026-06-27T11:38:08.614078,3182,90,0,86.31
2026-06-27T11:38:08.809188,3179,90,0,86.07
2026-06-27T11:38:09.003362,3177,90,0,86.66
2026-06-27T11:38:09.255393,3178,90,0,86.24
2026-06-27T11:38:09.443276,3176,90,0,86.07
2026-06-27T11:38:09.640591,3179,90,0,86.15
2026-06-27T11:38:09.832539,3180,90,0,86.37
2026-06-27T11:38:10.026291,3182,90,0,86.64
2026-06-27T11:38:10.222344,3182,90,0,86.68
2026-06-27T11:38:10.515210,3180,90,0,86.51
2026-06-27T11:38:10.662408,3181,90,0,86.37
2026-06-27T11:38:10.856190,3181,90,0,87.12
2026-06-27T11:38:11.050668,3180,90,0,86.35
2026-06-27T11:38:11.245477,3176,90,0,86.09
2026-06-27T11:38:11.450510,3165,90,0,85.94
2026-06-27T11:38:11.635071,3196,90,0,85.72
2026-06-27T11:38:11.881857,3177,90,0,86.22
2026-06-27T11:38:12.074724,3178,90,0,86.79
2026-06-27T11:38:12.269061,3191,90,0,87.23
2026-06-27T11:38:12.467653,3180,90,0,86.90
2026-06-27T11:38:12.660315,3180,90,0,87.12
2026-06-27T11:38:12.854737,3180,90,0,86.88
2026-06-27T11:38:13.099973,3178,90,0,86.51
2026-06-27T11:38:13.294020,3179,90,0,86.55
